Key,Value
MAC,5
OOP,52
JQUERY,96
VISUAL STUDIO CODE,0
3D 모델링,0
DEBUGGING,10
SAP BW,0
OFDM,0
강의,2
AAC,11
C++,0
WBS,1
CODEIGNITER,2
TYPEFORM,0
SCIKIT-LEARN,0
데이터 마트,5
안드로이드 SDK,0
금융,31
UNIX,29
GIS,7
데이터베이스 설계,21
교육 기술,0
RDBMS,283
JIRA,142
ERP 구현,0
솔루션 개발,0
딥 러닝,0
리팩토링,24
마이크로프로세서,0
레이더,1
GPU,6
SAP FICO,0
ABAP,28
ROS,11
KOTLIN,219
클라우드 컴퓨팅,9
LARAVEL,19
애자일 방법론,0
NOTION,30
개발,3427
SCRUM,3
샘플 관리,0
DB2,0
REDMINE,5
GIS 응용 프로그램,0
POS,1
시스템 구축,0
JSONAPI,0
모바일 게임,11
QT,19
RTL 검증,0
안드로이드 개발,0
서버 관리,0
품질 관리,0
영어 실력,0
B2C,30
EXPRESSJS,19
OFFICE 365,0
AR,5
JQUERY UI,0
HP,0
VOIP,1
OTN,0
NODEJS,293
GPS,2
전력전자학,0
라이브러리 관리,0
로봇,20
XML,5
GITLAB,21
CCIE,0
TESTNG,0
설계,876
FRAMER,0
SQL,278
GOOGLE TAG MANAGER,0
STATA,0
SMS,0
RAID,0
AKKA,0
SNMP,0
제안서 작성,0
PROCESSING,21
JAVASCRIPT,560
SPRING FRAMEWORK,0
KUBERNETES,105
ITIL,1
PACS,2
하드웨어,26
SAP SD,0
WEBRTC,4
STRUTS,1
SLACK,52
데이터베이스 관리,0
RTL 설계,0
SD,7
PYTORCH,140
하드웨어 테스트,0
데이터 입력,0
INTELLIJ IDEA,0
DIRECTX,3
WINDOWS 원격 데스크톱,0
네트워크 관리,0
GUI,5
ORM,62
시스템 구현,0
APACHE 2,0
보안 운영,0
SAP,41
STORAGE,10
전자정부프레임워크,0
클라우드 응용 프로그램,0
ETHEREUM,3
웹 디자인,5
SONET,0
CSS3,0
HYPERLEDGER,2
위성 통신,0
SAP 구현,0
모델링,84
HTA,0
AIX,0
RASPBERRY PI,0
GOOGLE CLOUD PLATFORM,0
LIS,0
EMBEDDED LINUX,0
FPGA 프로토 타이핑,0
MIXPANEL,0
리눅스 서버,0
TCL,4
RUBY,25
COCOA TOUCH,0
관리,575
연구 및 개발,0
자동차,13
네트워크 보안,20
상품 기획,0
RESTFUL API,0
클라이언트 개발,0
FMEA,0
소프트웨어 검증,0
WPF 개발,0
FTP,2
윈도우 모바일,0
임베디드 소프트웨어,0
GCC,2
네트워크 통신,0
I2C,0
전자 공학,0
EDA,12
SOLIDWORKS,2
IOT,15
AGILE,29
SIMULINK,2
NGINX,15
서비스 디자인,0
CSS,425
ORACLE SQL,0
JUNIPER,1
VR,6
ENCASE,0
APACHE KAFKA,0
OPENSTACK,11
CAD,6
DEVOPS,72
MONGODB,80
ANDROID STUDIO,0
XEN,1
백신,1
IPS,4
소켓,24
UX 디자인,0
RTOS,14
VERILOG,14
OPENMP,0
기계 학습 (MACHINE LEARNING),0
DATASTAGE,0
ORCAD,13
PCB 디자인,0
UI 디자인,0
MIMO,0
DNS,7
솔루션 아키텍처,0
R,38
데이터 수집,0
GITHUB,170
알고리즘 개발,0
데이터 시각화,10
카메라,8
OPENCV,34
윈도우 프로그래밍,0
GRADLE,13
WEBSPHERE MQ,0
HTML5,126
MVVM,62
모터 제어,0
UNREAL ENGINE,0
CRM,8
DJANGO,105
RX,4
TRELLO,5
GOOGLE APPS,0
ADOBE,10
RTP,0
MS 오피스,0
SSAS,0
통계 모델링,0
네트워크 인프라,0
모뎀,1
REDIS,82
NEXACRO,2
프로세스 개선,0
CUDA,5
데이터 분석,0
전원 엔지니어링,0
비즈니스 분석,0
C,411
.NET,0
JSON,25
CAN,13
리눅스 시스템 관리,0
MAVEN,8
ANGULAR,114
QA 엔지니어링,0
ANSI C,0
SERVLETS,0
VPN,4
PRODUCT MANAGEMENT ,0
CAKEPHP,0
보안 감사,0
RS232,0
ELASTICSEARCH,43
GLSL,1
테스트 실행,0
MMO,0
ALTIUM,5
영상,47
GOOGLE ANALYTICS,0
프로젝트 납품,0
LTE,2
웹사이트,11
REACT NATIVE,0
네비게이션 시스템,0
ASANA,2
생산 계획,0
