keys,qualification,preffered,skill,weighted sum
.NET,792,0,88,2464
.NET CORE,24,0,12,84
3D,80,100,2,342
3D 그래픽,9,0,1,28
3D 모델링,45,0,5,140
3G,36,0,4,112
AAC,29,11,2,100
ABAP,208,11,20,655
ACTIVE DIRECTORY,42,0,21,147
ADC,29,1,3,91
ADOBE,14,14,2,58
ADOBE ILLUSTRATOR,14,0,7,49
ADOBE PHOTOSHOP,14,0,7,49
ADOBE XD,26,0,13,91
AGILE,115,73,43,461
AIX,54,1,6,169
AJAX,131,4,12,409
AKKA,4,4,2,18
ALTIUM,15,1,5,51
AMAZON REDSHIFT,4,0,2,14
AMAZON WEB SERVICE,32,0,16,112
AMPLITUDE,11,12,3,48
ANDROID,1301,143,556,4602
ANDROID STUDIO,104,0,52,364
ANGULAR,116,47,1,396
ANGULARJS,154,10,71,543
ANSI C,9,0,1,28
APACHE,71,38,23,274
APACHE 2,12,0,6,42
APACHE KAFKA,48,0,24,168
APACHE SPARK,12,0,6,42
API,1608,363,86,5273
API 개발,216,0,24,672
APPLE SOFTWARE,8,0,4,28
APPLICANT TRACKING SYSTEM(ATS),2,0,1,7
AR,95,7,10,302
ARDUINO,6,0,3,21
ASANA,14,11,6,59
ASIC,75,6,8,239
ASP,114,6,12,360
ASP .NET,234,0,26,728
ASTERISK,2,0,1,7
AUDIT COMMAND LANGUAGE (ACL),4,0,2,14
AUTOCAD,15,3,6,54
AUTOSAR,20,11,2,73
AWS,13457,861,1432,42664
AXURE,15,3,7,55
AZURE,367,138,147,1386
B2B,56,50,5,223
B2C,66,28,4,230
BASH,53,21,20,200
BGP,29,0,3,90
BI,26,25,1,104
BITBUCKET,91,16,38,327
BLOCKCHAIN,108,10,53,387
BOOTSTRAP,58,12,24,210
C,2895,165,276,9126
C / C++,3105,0,345,9660
C#,2385,0,265,7420
C++,4653,0,517,14476
CAD,69,7,7,221
CAKEPHP,2,0,1,7
CAM,46,2,5,145
CAN,112,12,11,359
CCIE,18,2,2,58
CCNA,28,9,3,96
CCNP,10,7,1,38
CENTOS,37,9,12,132
CHILDREN,2,0,1,7
CISA,217,24,24,699
CISCO,17,8,7,66
CISSP,91,29,10,312
CITRIX,42,4,19,149
CLUSTERING,21,1,6,70
CMS,11,5,1,39
COCOA TOUCH,2,0,1,7
CODEIGNITER,34,9,16,127
COMMUNICATION,46,23,4,165
CONFLUENCE,287,143,118,1122
COROUTINE,39,22,13,152
CRM,116,16,12,376
CRM 데이터베이스,9,0,1,28
CRM 소프트웨어,9,0,1,28
CRM 통합,9,0,1,28
CSS,2846,85,269,8892
CSS 자바 스크립트,198,0,22,616
CSS3,684,0,76,2128
CTI,37,3,4,118
CUDA,347,26,38,1105
DART FOR PUBLISHERS,4,0,2,14
DATA ANALYSIS,22,0,11,77
DATASTAGE,2,0,1,7
DB2,9,0,1,28
DBT,46,1,5,144
DEBIAN,4,0,2,14
DEBUGGING,20,3,5,68
DELPHI,28,8,12,104
DEVOPS,274,134,101,1057
DHCP,20,1,2,63
DIAGNOSTIC,2,0,1,7
DICOM,18,8,2,64
DIRECTX,5,4,1,20
DJANGO,397,44,146,1381
DLP,49,1,5,153
DNS,286,3,31,892
DOCKER,1333,317,593,4909
DOM,31,1,3,97
DSL,12,0,1,37
DSP,29,7,3,97
DWDM,24,0,2,74
EAI,109,3,12,342
EC2,117,0,13,364
ECLIPSE,5,1,2,18
EDA,138,6,14,434
ELASTICSEARCH,257,68,107,946
ELIXIR,5,2,2,19
EMBEDDED C,42,0,21,147
EMBEDDED LINUX,124,0,62,434
EMC STORAGE,14,0,7,49
EMC 규정 준수,63,0,7,196
EMR,77,16,8,255
ENCASE,8,0,4,28
ENTITY FRAMEWORK,22,0,11,77
ERP 구현,45,0,5,140
ERP 소프트웨어,117,0,13,364
ES6,234,0,26,728
ETHEREUM,29,21,13,121
ETL,229,21,23,731
ETL 도구,63,0,7,196
EXCEL,5,1,1,17
EXPRESSJS,155,2,68,535
FASTAPI,156,18,58,544
FIGMA,268,75,112,991
FIREBASE,167,40,70,611
FLASH,3,0,1,10
FLASK,174,24,60,606
FLOW,46,32,3,173
FLUTTER,511,87,214,1834
FMEA,54,0,6,168
FPGA,352,14,38,1108
FPGA 프로토 타이핑,144,0,16,448
FRAMER,8,1,4,29
FTP,11,0,1,34
GCC,11,1,1,35
GCP,1151,176,117,3746
GCPS,4,0,2,14
GIMP,19,0,2,59
GIS,52,18,5,179
GIS 시스템,9,0,1,28
GIS 응용 프로그램,18,0,2,56
GIT,2838,359,1129,10002
GITHUB,1308,195,569,4688
GITLAB,147,64,63,568
GLSL,10,5,1,36
GO,391,67,150,1390
GOLANG,244,37,89,858
GOOGLE ANALYTICS,98,0,49,343
GOOGLE APPS,34,0,17,119
GOOGLE CLOUD PLATFORM,76,0,38,266
GOOGLE MAPS,6,0,3,21
GOOGLE TAG MANAGER,22,0,11,77
GOOGLE WEBMASTER TOOLS,4,0,2,14
GPS,11,6,1,40
GPU,96,24,10,322
GRADLE,69,13,28,248
GRAPHQL,234,72,96,870
GRUNTJS,2,0,1,7
GUI,50,9,5,164
HADOOP,243,46,107,882
HCI,75,0,8,233
HEALTH INFORMATION TECHNOLOGY,4,0,2,14
HEROKU,5,1,2,18
HILT,9,4,2,33
HMI,10,2,1,33
HP,90,0,10,280
HTA,18,0,2,56
HTML,4840,54,503,15077
HTML5,1233,22,123,3844
HTTP,545,21,49,1705
HYPERLEDGER,12,5,5,46
I2C,18,0,2,56
IBATIS,23,0,10,79
IIS,87,0,9,270
INTELLIJ IDEA,38,0,19,133
IOS,1104,149,441,3902
IOS 개발,104,0,52,364
IOS 디자인,4,0,2,14
IOT,61,46,23,252
IP,54,9,5,176
IPS,103,5,11,325
ISO,94,45,9,336
ISR,9,2,1,30
IT 관리,81,0,9,252
IT 운영,81,0,9,252
ITIL,127,7,14,402
IVR,37,2,4,117
JAVA,2908,255,1051,10030
JAVASCRIPT,2994,164,1217,10363
JENKINS,401,122,176,1501
JIRA,2365,230,247,7572
JPA,2094,61,220,6563
JQUERY,446,27,175,1540
JQUERY UI,4,0,2,14
JSON,70,6,5,221
JSONAPI,12,0,6,42
JSP,523,10,52,1631
JSP 개발,54,0,6,168
JSTL,57,0,6,177
JUNIPER,3,2,1,12
JUNIT,51,13,22,188
KERNEL PROGRAMMING,2,0,1,7
KOTLIN,1291,109,536,4518
KUBERNETES,657,245,276,2492
KYC,36,0,4,112
LARAVEL,103,17,42,368
LESS,34,7,3,112
LIDAR,22,13,7,86
LIN,11,0,1,34
LINQ,36,1,4,113
LINUX,1700,191,688,5979
LIS,18,0,2,56
LTE,38,5,4,123
MAC,45,14,20,169
MATLAB,241,7,25,755
MAVEN,48,5,20,169
MDX,9,0,1,28
MES,85,14,9,278
METAL,11,9,5,47
MFC,425,10,45,1330
MICROCHIP PIC,2,0,1,7
MICROSOFT SERVER,4,0,2,14
MIMO,18,0,2,56
MIXPANEL,8,7,4,35
ML,649,74,65,2086
MMO,18,2,2,58
MOBILE APP DESIGN,2,0,1,7
MONGODB,464,99,192,1683
MS 오피스,9,0,1,28
MSSQL,1100,25,114,3439
MULTI TASKING,34,0,17,119
MVC,136,23,11,442
MVVM,647,87,65,2093
MXNET,43,1,4,134
MYSQL,1924,105,815,6692
NAS,45,1,5,141
NEO4J,10,0,5,35
NEST.JS,196,0,98,686
NEXACRO,12,4,5,45
NEXT.JS,446,0,223,1561
NFC,73,7,8,234
NGINX,135,24,60,489
NLP,146,17,15,470
NODE.JS,912,0,456,3192
NODEJS,693,167,200,2446
NOSQL,479,152,152,1741
NOTION,246,74,108,920
NUMPY,72,7,28,251
OAUTH,21,18,4,85
OBJECTIVEC,175,15,75,615
OFDM,18,0,2,56
OFFICE 365,46,0,23,161
OLAP,14,6,1,49
OOP,340,19,32,1071
OPENCL,8,8,4,36
OPENCV,116,24,41,413
OPENGL,51,29,20,202
OPENMP,14,3,7,52
OPENSTACK,39,13,14,144
ORACLE,507,35,193,1749
ORACLE DATABASE,4,0,2,14
ORACLE RAC,2,0,1,7
ORACLE SQL,20,0,10,70
ORCAD,184,7,19,578
ORM,350,39,32,1121
OSS,207,1,23,645
OTN,18,0,2,56
PAAS,18,4,7,65
PACS,38,11,4,129
PADS,116,6,12,366
PADS LAYOUT,4,0,2,14
PALANTIR,2,1,1,8
PCB 디자인,171,0,19,532
PCB 레이아웃 설계,162,0,18,504
PERFORCE,10,0,4,34
PERL,70,4,32,246
