keys,qualification,preferred,skill,weight sum,,
개발,3427,3102,20,13403,,문제점
AWS,569,861,1432,4000,AMAZON WEB SERVICE,"2단어 이상의 tag는 인식 x, 중간에 기호가 들어가면 인식 x"
JAVA,806,255,1051,3724,,
PYTHON,672,319,1310,3645,,
설계,876,732,6,3366,,
GIT,580,359,1129,3228,,
JAVASCRIPT,560,164,1217,3061,,
REACT,606,334,834,2986,react.js,react native
API,834,363,86,2951,,
관리,575,545,1,2271,,
TYPESCRIPT,385,280,648,2083,,
LINUX,324,191,688,1851,"리눅스 커널, 리눅스 시스템 관리, 리눅스 서버",
MYSQL,294,105,815,1802,,
C,411,165,276,1674,c/c++로 통합,
CSS,425,85,269,1629,"css3, css 자바스크립트",
서버,414,313,17,1572,,
HTML,313,54,503,1496,html5 -> html로 인정,
SQL,278,93,460,1387,,
DOCKER,147,317,593,1351,,
KOTLIN,219,109,536,1302,COROUTINE,
GITHUB,170,195,569,1274,,
ANDROID,189,143,556,1266,"ANDROID STUDIO, 안드로이드 개발, 안드로이드 SDK",
IOS,222,149,441,1256,"ios 개발, ios 디자인, MAC",
NODE,,,,,"nodejs, node.js",
NODEJS,293,167,200,1246,node.js,
RDBMS,283,62,115,1026,,
Restful,,,,,"REST, restful api, restful webservices, restful architecture",
REST,264,80,67,939,"restful api, restful webservices, restful architecture",
JIRA,142,230,247,903,,
인프라,188,262,64,890,,
KUBERNETES,105,245,276,836,,
NOSQL,175,152,152,829,,
최적화,153,353,4,816,,
SPRING FRAMEWORK,0,0,738,738,,
SWIFT,132,42,295,733,,
보안,139,252,50,719,"네트워크 보안, 정보 보안, 보안 정책, 보안 관리, 보안 감사, 보안 교육, 보안 금융, 보안 운영, 클라우드 보안",
VUE,,,,,"vuejs, vue.js",
VUEJS,140,98,169,687,vue.js,
PYTORCH,140,62,204,686,,
JPA,114,61,220,623,,
POSTGRESQL,112,59,214,609,,
ORACLE,121,35,193,591,"oracle sql, oracle database, oracle rac -> oracle 통일",
GCP,98,176,117,587,GOOGLE CLOUD PLATFORM,
데이터베이스,159,92,13,582,"CRM 데이터베이스, 데이터베이스 관리",
컴퓨터 공학,154,113,5,580,,
PHP,89,51,245,563,php unit,
TENSORFLOW,117,61,147,559,,
REDIS,82,162,145,553,,
FLUTTER,83,87,214,550,,
MONGODB,80,99,192,531,,
HTML5,126,22,123,523,html,
C++,0,0,517,517,c/c++,
DJANGO,105,44,146,505,,
AZURE,73,138,147,504,,
REDUX,122,68,66,500,,
통신,126,101,14,493,,
GO,91,67,150,490,GOLANG,
JQUERY,96,27,175,490,JQUERY UI,
NODE.JS,0,0,456,456,nodejs,
DEVOPS,72,134,101,451,,
JENKINS,49,122,176,445,,
