Key,qual,pref,Value
윈도우 프로그래밍,2,2,2
CTI,1,3,4
RASPBERRY PI,0,3,5
POS,1,21,1
GCP,83,158,117
모바일 기술,0,0,4
3G,0,0,4
회로 설계,14,15,19
IOS 디자인,0,0,2
OLAP,4,6,1
전력전자학,0,0,2
FLASK,48,23,60
클라우드 스토리지,1,0,1
ANGULARJS,10,8,71
모바일 게임 개발,3,0,1
OPENCL,0,6,4
SMTP,2,0,17
RESTFUL WEBSERVICES,0,0,36
AXURE,0,3,7
HYPERLEDGER,0,5,5
XEN,1,0,14
B2B,10,44,5
QT,18,15,15
제품 개발,23,29,1
ITIL,1,6,14
전자정부프레임워크,5,4,4
MICROSOFT SERVER,0,0,2
RUBY ON RAILS,5,9,25
TABLEAU,16,27,62
기술 교육,0,0,4
FIGMA,36,58,112
ADC,2,1,3
COMMUNICATION,38,19,4
신호 처리,0,3,3
REDIS,73,148,145
LINQ,0,1,4
ES6,45,24,26
RTL 검증,0,0,8
POP 디스플레이,0,0,5
NODE.JS,0,0,456
LARAVEL,17,14,42
JIRA,128,198,247
FASTAPI,39,17,58
IOS 개발,60,14,52
PCB 디자인,1,0,19
SSRS,1,0,1
POSTGRESQL,106,56,214
C,349,135,276
ECLIPSE,1,1,2
설계,604,515,6
GRAPHQL,39,61,96
PMP,1,7,19
NUMPY,14,7,28
EDA,9,6,14
서비스 프로세스,0,0,1
학술 출판,0,0,2
솔루션 아키텍처,0,2,4
SIMULINK,2,4,17
XCODE,6,7,19
EMC 규정 준수,0,0,7
XML,5,3,2
OTN,0,0,2
PRODUCT MANAGEMENT ,0,0,53
CAN,12,7,11
DJANGO,90,39,146
COCOA TOUCH,0,0,1
CSS,326,64,269
GCPS,0,0,2
PCB 레이아웃 설계,0,0,18
VISUAL STUDIO CODE,2,1,18
ASP .NET,0,0,26
DSL,3,0,1
HEROKU,1,1,2
DOCKER,120,262,593
네트워크 보안,10,9,3
AMAZON WEB SERVICE,0,1,16
라이브러리 관리,0,1,6
ANSI C,0,0,1
JQUERY,80,22,175
VB .NET,0,0,2
프로젝트 실행,0,1,2
RETROFIT2,3,0,3
회로 분석,0,0,4
하드웨어 설계,1,1,5
SYBASE,1,0,1
GPU,5,22,10
SSAS,0,0,3
리눅스 시스템 관리,0,0,4
RUBY,21,9,36
SQLITE,5,2,12
ANGULAR,97,42,1
JUNIT,6,12,22
VMWARE INFRASTRUCTURE,0,0,13
STORAGE,9,4,6
전원 엔지니어링,0,0,1
OOP,24,15,32
백엔드 개발,229,59,45
WPF 개발,8,2,5
재고 관리,0,1,3
소프트웨어 개발,72,61,32
SPARK,31,59,122
인공 지능,0,0,15
XILINX,4,4,8
NODEJS,250,148,200
네트워크 관리,1,0,7
LIS,0,0,2
솔루션 개발,16,28,11
IVR,1,1,4
MFC,19,8,45
SPA,108,51,9
TDD,18,78,13
연구 및 개발,8,11,1
WEBGL,10,15,26
데이터베이스,154,76,13
OPENMP,0,3,7
SAP 구현,0,0,3
분석 문제 해결,0,1,1
CONFLUENCE,49,131,118
VPN,4,12,6
HP,0,0,10
APACHE KAFKA,3,12,24
보안 감사,0,1,10
스토리지 영역 네트워크,0,0,2
SAP MM,2,2,15
예측 모델링,0,1,3
OSS,0,1,23
SQL 서버,0,0,12
그래픽 디자인,1,0,9
의료 장비,0,0,7
IT 관리,1,0,9
GUI,5,8,5
검증,46,39,32
APACHE SPARK,3,7,6
SCIPY,4,0,7
교육 관리,0,0,4
SNMP,0,0,8
POWERSHELL,5,3,29
자산 관리,0,1,1
RX,3,8,14
애자일 프로젝트 관리,0,1,17
JAVASCRIPT,440,141,1217
UNREAL ENGINE,2,20,30
APACHE,13,20,23
분석 개발,0,2,1
MAVEN,8,5,20
서버,346,275,17
차량,6,13,5
KUBERNETES,85,211,276
OBJECTIVEC,22,12,75
MSSQL,70,22,114
TOMCAT,14,12,22
FLASH,1,0,1
SAP BW,0,0,1
GOOGLE ANALYTICS,2,14,49
GIT,391,271,1129
SHADER,2,5,5
ELASTICSEARCH,40,59,107
클라우드 보안,3,9,1
기술 개발,10,15,2
프로토콜 개발,3,5,1
DATASTAGE,0,0,1
ACTIVE DIRECTORY,5,3,21
LTE,1,4,4
WINDOWS 서비스,0,0,8
BI,13,15,1
RTP,0,1,5
B2C,29,24,4
ERP 구현,0,0,5
TCL,4,0,10
CCIE,0,2,2
OFDM,0,0,2
ENTITY FRAMEWORK,2,3,11
DB2,3,0,1
KYC,0,0,4
BLOCKCHAIN,2,10,53
AZURE,63,125,147
VHDL,2,0,8
CAD,4,7,7
RUST,23,29,37
RHINO 3D,0,0,2
CRM 소프트웨어,0,2,1
ADOBE,9,12,2
REACT,542,293,834
데이터 시각화,7,25,3
NGINX,14,21,60
FPGA,8,14,38
RABBITMQ,7,56,20
EC2,39,19,13
VUEJS,129,94,169
SAP FI,1,1,13
인버터,1,2,2
보안 정책,6,1,8
METAL,1,9,5
자동차,8,20,6
SPLUNK,2,2,1
ALTIUM,4,1,5
GOLANG,60,30,89
분석능력,1,0,4
RFP,0,0,1
CISCO,2,7,7
PMO,1,0,5
MATLAB,16,7,25
JPA,97,60,220
ENCASE,0,0,4
방화벽,5,8,4
ETHEREUM,3,19,13
JQUERY UI,0,0,2
UNITY3D,5,5,64
모터 제어,2,5,2
ORACLE SQL,8,2,10
ROS,7,22,57
카산드라,0,0,3
.NET,0,0,88
프로젝트 납품,0,0,1
TESTNG,0,2,4
FMEA,0,0,6
HTA,0,0,2
NEO4J,1,2,5
REDUX,110,58,66
CSS 자바 스크립트,0,0,22
CITRIX,4,4,19
데이터 통합,0,0,1
OPENSTACK,10,11,14
BASH,11,17,20
HTTP,93,19,49
NEXT.JS,0,0,223
하드웨어,23,19,9
VOIP,1,0,4
전자 공학,0,1,2
