name,qualification,preferred,skills,qual*3+pref+skill
CRM 통합,0,0,1,1
FIREBASE,27,40,70,191
ADOBE XD,6,6,13,37
DJANGO,105,44,146,505
SSRS,1,0,1,4
NEXACRO,2,4,5,15
SONET,0,0,2,2
비즈니스 분석,2,0,2,8
UDP,4,3,11,26
UX 디자인,0,1,2,3
CSS3,0,0,76,76
RTL 코딩,0,0,18,18
네트워크 개발,2,2,2,10
GLSL,1,5,1,9
솔루션 아키텍처,1,2,4,9
네트워크 설계,2,3,5,14
RTP,0,1,5,6
차량,12,38,5,79
WORDPRESS,1,1,2,6
VMWARE INFRASTRUCTURE,0,0,13,13
자동차,13,33,6,78
UNITY3D,0,0,64,64
PADS,8,6,12,42
테스트 실행,0,1,17,18
PERFORCE,2,0,4,10
GIMP,1,0,2,5
SAP ERP,9,6,12,45
XAML,4,0,6,18
HCI,3,0,8,17
시스템 구현,3,2,1,12
RHEL,1,2,8,13
최적화,157,359,4,834
리눅스 커널,1,5,1,9
VBA,0,7,6,13
XP,1,4,3,10
PMO,1,0,5,8
VM웨어,0,0,40,40
통신,121,102,14,479
모바일 기술,0,0,4,4
DIRECTX,3,4,1,14
위성 통신,0,1,4,5
VHDL,2,0,8,14
VUE.JS,0,0,98,98
NEXT.JS,0,0,223,223
CTI,1,3,4,10
수학,74,75,5,302
ISO,13,47,9,95
웹 개발,118,65,10,429
XEN,1,0,14,17
AXURE,1,3,7,13
SHADER,2,5,5,16
PYTORCH,140,62,204,686
CSS,425,85,268,1628
CISSP,1,29,10,42
공공 부문,0,0,3,3
RTOS,14,18,11,71
MONGODB,80,99,192,531
MFC,20,10,45,115
기술 교육,0,1,4,5
TABLEAU,21,35,62,160
BASH,13,21,20,80
영상,45,81,5,221
ALTIUM,5,1,5,21
클라우드 응용 프로그램,0,0,13,13
WINFORM,4,2,11,25
SAP HR,4,0,3,15
HTML5,126,22,123,523
ABAP,28,11,20,115
EMBEDDED C,0,0,21,21
STP,0,0,8,8
SOLARIS ,0,0,1,1
PERL,6,4,32,54
ENCASE,0,0,4,4
VISUAL STUDIO CODE,5,1,18,34
리눅스 서버,13,5,3,47
PLC,3,5,6,20
ES6,0,0,26,26
AKKA,0,4,2,6
HYPERLEDGER,2,5,5,16
EXPRESSJS,19,2,68,127
AJAX,23,4,12,85
NOTION,30,74,108,272
서버 관리,9,11,22,60
API 개발,86,32,24,314
DOM,4,1,3,16
AUTOCAD,3,3,6,18
SCM,9,11,1,39
ELASTICSEARCH,43,68,107,304
DEBIAN,0,0,2,2
KERNEL PROGRAMMING,0,0,1,1
공차 분석,0,0,5,5
데이터 마트,8,2,4,30
빅 데이터,30,78,1,169
CRM 데이터베이스,0,0,1,1
보안 감사,0,2,10,12
RFP,0,0,1,1
API,434,260,86,1648
JQUERY UI,1,0,2,5
SMS,0,3,2,5
보안 교육,0,3,4,7
UI 디자인,4,1,17,30
취약점 스캐닝,0,0,1,1
네트워크 엔지니어링,0,0,1,1
FPGA,10,14,38,82
안드로이드 SDK,0,0,14,14
JSON,25,6,5,86
제안서 작성,2,3,3,12
PACS,2,11,4,21
웹 디자인,5,5,2,22
설계,886,737,6,3401
CRM 소프트웨어,0,0,1,1
모바일 장치,0,0,1,1
SQLITE,7,4,12,37
보안 운영,7,2,2,25
데이터베이스,217,112,13,776
모델링 및 시뮬레이션,0,0,1,1
ORCAD,13,7,19,65
생산 계획,0,0,3,3
TESTNG,0,3,4,7
일본어,2,32,1,39
WEBGL,10,20,26,76
PRODUCT MANAGEMENT ,7,0,53,74
GPS,2,6,1,13
3D 그래픽,0,1,1,2
PHPUNIT,0,0,2,2
프로세스 개선,4,23,1,36
TYPESCRIPT,385,280,647,2082
DSL,3,0,1,10
구글 API,0,1,1,2
MIXPANEL,0,7,4,11
샘플 준비,0,0,1,1
ORACLE,121,35,192,590
SKETCHUP,0,0,2,2
MVVM,62,87,64,337
의료 기기,8,19,7,50
카메라,8,31,9,64
