Key,Value
120493,"['MongoDB', 'MySQL', 'SQL']"
82530,"['Git', 'JIRA', 'React', 'CSS', 'HTML', 'JavaScript', 'TypeScript', 'Figma', 'Next.js', 'Vue.JS']"
158261,['iOS']
147597,"['Git', 'Github', 'Linux', 'React', 'SQL', 'AWS', 'Docker', 'PostgreSQL', 'Flutter']"
118168,"['MongoDB', 'Python', '금융', 'API', 'NoSQL', 'ElasticSearch', 'API 개발']"
163951,['Agile']
151109,"['Git', 'Github', 'Unreal Engine', 'C#', 'Python', 'C++', 'CAN', 'ROS', 'Unity3D']"
122553,"['Git', 'Azure', 'MongoDB', 'Pytorch', 'Scikit-Learn', 'Tensorflow', 'Node.js', 'Python', 'C', 'AWS', 'C++', 'Docker', 'Shell Scripting', 'PostgreSQL', 'Golang', 'React.js', 'Next.js', 'Restful API']"
103598,"['AngularJS', 'MongoDB', 'MySQL', 'Java', 'JavaScript', 'TypeScript', 'JPA', 'Spring Boot']"
157234,"['Git', 'Github', 'Linux', 'MySQL', 'C / C++', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS', 'Spring Framework']"
164438,"['ASP', 'CSS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'SQL']"
119599,
159693,"['Android', 'Java', 'Kotlin', '안드로이드 개발', 'Flutter']"
72388,
120367,"['React', 'TypeScript', 'AWS']"
31024,
162844,"['Git', 'GitLab', 'ExpressJS', 'Linux', 'MySQL', 'Oracle', 'Redis', 'VueJS', 'Java', 'JavaScript', 'PHP', 'Python', 'Jenkins', 'Docker', 'Tomcat', 'SVN', 'SSL', 'ElasticSearch', 'NodeJS', 'Spring Framework', 'JPA', 'Nginx', 'RabbitMQ', 'Apache 2', 'ES6']"
106376,"['React', 'JavaScript', 'TypeScript', 'Redux']"
37335,"['Google Cloud Platform', 'Hadoop', 'Spark']"
158891,"['JavaScript', 'TypeScript', 'React.js', 'Flutter', 'Next.js']"
150305,"['MySQL', 'React', 'Kotlin', 'SQL', 'AWS', 'Spring Framework', 'JPA']"
145306,"['React', 'Java', 'JavaScript', 'PHP', 'SQL']"
146089,"['Android', 'iOS', 'TypeScript', 'AWS', 'NodeJS', 'React.js']"
101923,"['Git', 'Android', 'Linux', 'C / C++']"
141181,"['Git', 'Github', 'Linux', 'React', 'SQL', 'AWS', 'Docker', 'PostgreSQL', 'Flutter']"
157396,"['BitBucket', 'Git', 'JIRA', 'Azure', 'AWS', 'DevOps', 'ITIL', 'Kubernetes']"
126176,
149981,"['Android', 'iOS', 'TypeScript', 'AWS', 'NodeJS', 'React.js']"
74693,
72701,
147021,"['Scikit-Learn', 'Node.js', 'Python', 'Docker', 'Clustering', 'SNMP']"
114983,"['Linux', 'C', 'C++']"
163571,"['Git', 'Python', 'C++', 'ROS']"
162049,"['React', 'TypeScript']"
162533,"['Linux', 'IoT', 'C++', '통신', '로봇', 'ROS']"
142691,"['Python', 'SQL', 'Tableau', 'AWS', 'Spring Framework', 'ML']"
162494,"['Android', 'Django', 'iOS', 'React', 'Node.js', 'Laravel', 'React Native', 'Spring Boot', 'Flutter', 'Nest.js']"
160669,"['React', 'TypeScript', 'AWS', 'Restful API', 'Vue.JS']"
71090,
2153,
165112,
84499,"['Python', 'SQL', 'SCM']"
82398,
106604,"['Git', 'Github', 'MySQL', 'AWS', 'Spring Framework']"
163152,
162047,"['React', 'TypeScript']"
164150,"['Android', 'Azure', 'iOS', 'Linux', 'MySQL', 'C / C++', 'HTML', 'JavaScript', 'Kotlin', 'Swift', 'C', '인프라', 'AWS', 'TCP', 'C++', 'HTTP', 'Active Directory', 'DNS', 'Windows 서버', 'Powershell', '시스템 관리', 'Office 365', 'Spring Framework', 'SMTP', '시스템 구축', 'Restful API']"
150584,"['Git', 'JIRA', 'Pytorch', 'C++', 'CUDA', 'OpenCV', 'OpenMP', 'ML']"
154634,"['CSS', 'HTML', 'JavaScript', 'Kotlin', 'TypeScript', 'Spring Framework', 'React.js']"
162069,"['Django', 'Python']"
163011,
121721,"['React', 'CSS', 'HTML', 'JavaScript', 'TypeScript']"
145171,
