id,url,웹 개발자,서버 개발자,소프트웨어 엔지니어,프론트엔드 개발자,자바 개발자,"C, C++ 개발자",안드로이드 개발자,파이썬 개발자,Node.js 개발자,iOS 개발자,머신러닝 엔지니어,데이터 엔지니어,"시스템, 네트워크 관리자",DevOps/ 시스템 관리자,개발 매니저,기술지원,"QA,테스트 엔지니어",데이터 사이언티스트,임베디드 개발자,보안 엔지니어,프로덕트 매니저,빅데이터 엔지니어,하드웨어 엔지니어,PHP 개발자,블록체인 플랫폼 엔지니어,크로스플랫폼 앱 개발자,DBA,ERP전문가,.NET 개발자,웹 퍼블리셔,"영상,음성 엔지니어",그래픽스 엔지니어,루비온레일즈 개발자,BI 엔지니어,VR 엔지니어
120493,https://www.wanted.co.kr/wd/120493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158261,https://www.wanted.co.kr/wd/158261,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118168,https://www.wanted.co.kr/wd/118168,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151109,https://www.wanted.co.kr/wd/151109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103598,https://www.wanted.co.kr/wd/103598,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164438,https://www.wanted.co.kr/wd/164438,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159693,https://www.wanted.co.kr/wd/159693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120367,https://www.wanted.co.kr/wd/120367,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162844,https://www.wanted.co.kr/wd/162844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37335,https://www.wanted.co.kr/wd/37335,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150305,https://www.wanted.co.kr/wd/150305,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146089,https://www.wanted.co.kr/wd/146089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141181,https://www.wanted.co.kr/wd/141181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126176,https://www.wanted.co.kr/wd/126176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74693,https://www.wanted.co.kr/wd/74693,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147021,https://www.wanted.co.kr/wd/147021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163571,https://www.wanted.co.kr/wd/163571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162533,https://www.wanted.co.kr/wd/162533,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162494,https://www.wanted.co.kr/wd/162494,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71090,https://www.wanted.co.kr/wd/71090,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165112,https://www.wanted.co.kr/wd/165112,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82398,https://www.wanted.co.kr/wd/82398,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163152,https://www.wanted.co.kr/wd/163152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164150,https://www.wanted.co.kr/wd/164150,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154634,https://www.wanted.co.kr/wd/154634,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163011,https://www.wanted.co.kr/wd/163011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145171,https://www.wanted.co.kr/wd/145171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125890,https://www.wanted.co.kr/wd/125890,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142903,https://www.wanted.co.kr/wd/142903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54172,https://www.wanted.co.kr/wd/54172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133987,https://www.wanted.co.kr/wd/133987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
