id,qualification,preferred,skills
120493,"['JAVA', 'SPRING BOOT']","['GIT', '관리']","['MongoDB', 'MySQL', 'SQL']"
82530,"['AWS', 'MONGODB', '인프라']","['설계', 'PYTHON', 'SHELL', '모델링', 'JAVASCRIPT']","['Git', 'JIRA', 'React', 'CSS', 'HTML', 'JavaScript', 'TypeScript', 'Figma', 'Next.js', 'Vue.JS']"
158261,"['개발', '보안', 'KOTLIN', 'RESTFUL API', 'DOCKER', '설계', 'JAVA', 'AWS', 'JPA', 'RDBMS', 'NOSQL', 'SPRING FRAMEWORK', 'KUBERNETES']","['개발', 'RABBITMQ', 'REDIS']",['iOS']
147597,['하드웨어'],['개발'],"['Git', 'Github', 'Linux', 'React', 'SQL', 'AWS', 'Docker', 'PostgreSQL', 'Flutter']"
118168,"['개발', 'SPRING BOOT', '서버', 'API', '설계', 'REST']","['JIRA', '개발', 'API', 'GRAPHQL', 'DOCKER', '설계', 'GIT', 'GITLAB', 'GOLANG', '가상화', 'KUBERNETES', '관리', 'GITHUB']","['MongoDB', 'Python', '금융', 'API', 'NoSQL', 'ElasticSearch', 'API 개발']"
163951,"['API', '컴퓨터 공학', 'RESTFUL API', 'HTML', 'GIT', '웹 개발', 'JAVASCRIPT', '관리', 'CSS', '웹 디자인']","['개발', '보안', 'TYPESCRIPT', '금융', '최적화', '관리']",['Agile']
151109,"['개발', '컴퓨터 공학', '수학', 'GIS', '최적화']","['UBUNTU', 'C', 'GIT', '자동차', 'VISUAL STUDIO', 'PYTHON', 'JENKINS', 'JIRA', 'UNREAL ENGINE', '로봇']","['Git', 'Github', 'Unreal Engine', 'C#', 'Python', 'C++', 'CAN', 'ROS', 'Unity3D']"
122553,['개발'],"['GIT', '개발', '관리', 'GIS']","['Git', 'Azure', 'MongoDB', 'Pytorch', 'Scikit-Learn', 'Tensorflow', 'Node.js', 'Python', 'C', 'AWS', 'C++', 'Docker', 'Shell Scripting', 'PostgreSQL', 'Golang', 'React.js', 'Next.js', 'Restful API']"
103598,"['MONGODB', 'GITLAB', 'LARAVEL', 'MYSQL', 'JQUERY', 'JAVASCRIPT', 'PHP']",['개발'],"['AngularJS', 'MongoDB', 'MySQL', 'Java', 'JavaScript', 'TypeScript', 'JPA', 'Spring Boot']"
157234,"['개발', 'API', 'DJANGO', 'HTML', 'GIT', '데이터베이스', '클라이언트 개발', 'PYTHON', 'REST', 'JQUERY', 'JAVASCRIPT', 'CSS', 'GITHUB']","['개발', 'GCP', 'AWS', 'ANGULAR']","['Git', 'Github', 'Linux', 'MySQL', 'C / C++', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS', 'Spring Framework']"
164438,"['HTML', 'JAVA', 'MSSQL', 'PYTHON', 'ASP', 'JAVASCRIPT', 'CSS']",[],"['ASP', 'CSS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'SQL']"
119599,"['설계', 'GCP', '서버']",['리팩토링'],
159693,"['정보 보안', '컴퓨터 공학', '보안', '설계', '관리']","['개발', '보안', '보안 교육']","['Android', 'Java', 'Kotlin', '안드로이드 개발', 'Flutter']"
72388,"['JIRA', '개발', 'TYPESCRIPT', 'HTML', 'GIT', 'NOTION', 'REDUX', 'REACT', '관리', 'CSS']","['SEO', '개발']",
120367,"['알고리즘 개발', '개발', '컴퓨터 공학']","['POSTGRESQL', 'GRAPHQL', 'AWS', 'PYTHON', 'FASTAPI', 'FLUTTER']","['React', 'TypeScript', 'AWS']"
31024,['개발'],"['개발', 'B2B', '데이터 분석', 'SQL', 'SAAS']",
162844,[],[],"['Git', 'GitLab', 'ExpressJS', 'Linux', 'MySQL', 'Oracle', 'Redis', 'VueJS', 'Java', 'JavaScript', 'PHP', 'Python', 'Jenkins', 'Docker', 'Tomcat', 'SVN', 'SSL', 'ElasticSearch', 'NodeJS', 'Spring Framework', 'JPA', 'Nginx', 'RabbitMQ', 'Apache 2', 'ES6']"
106376,"['보안', 'ML', '데이터 분석', '영상', 'PYTHON']","['설계', '데이터 수집']","['React', 'JavaScript', 'TypeScript', 'Redux']"
