Key,Kalue
120493,"['MONGODB', 'MYSQL', 'SQL']"
82530,"['GIT', 'JIRA', 'REACT', 'CSS', 'HTML', 'JAVASCRIPT', 'TYPESCRIPT', 'FIGMA', 'NEXT.JS', 'VUE.JS']"
158261,['IOS']
147597,"['GIT', 'GITHUB', 'LINUX', 'REACT', 'SQL', 'AWS', 'DOCKER', 'POSTGRESQL', 'FLUTTER']"
118168,"['MONGODB', 'PYTHON', '금융', 'API', 'NOSQL', 'ELASTICSEARCH', 'API 개발']"
163951,['AGILE']
151109,"['GIT', 'GITHUB', 'UNREAL ENGINE', 'C#', 'PYTHON', 'C++', 'CAN', 'ROS', 'UNITY3D']"
122553,"['GIT', 'AZURE', 'MONGODB', 'PYTORCH', 'SCIKIT-LEARN', 'TENSORFLOW', 'NODE.JS', 'PYTHON', 'C', 'AWS', 'C++', 'DOCKER', 'SHELL SCRIPTING', 'POSTGRESQL', 'GOLANG', 'REACT.JS', 'NEXT.JS', 'RESTFUL API']"
103598,"['ANGULARJS', 'MONGODB', 'MYSQL', 'JAVA', 'JAVASCRIPT', 'TYPESCRIPT', 'JPA', 'SPRING BOOT']"
157234,"['GIT', 'GITHUB', 'LINUX', 'MYSQL', 'C / C++', 'HTML', 'JAVASCRIPT', 'PYTHON', 'SQL', 'AWS', 'SPRING FRAMEWORK']"
164438,"['ASP', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'NODE.JS', 'PYTHON', 'SQL']"
119599,
159693,"['ANDROID', 'JAVA', 'KOTLIN', '안드로이드 개발', 'FLUTTER']"
72388,
120367,"['REACT', 'TYPESCRIPT', 'AWS']"
31024,
162844,"['GIT', 'GITLAB', 'EXPRESSJS', 'LINUX', 'MYSQL', 'ORACLE', 'REDIS', 'VUEJS', 'JAVA', 'JAVASCRIPT', 'PHP', 'PYTHON', 'JENKINS', 'DOCKER', 'TOMCAT', 'SVN', 'SSL', 'ELASTICSEARCH', 'NODEJS', 'SPRING FRAMEWORK', 'JPA', 'NGINX', 'RABBITMQ', 'APACHE 2', 'ES6']"
106376,"['REACT', 'JAVASCRIPT', 'TYPESCRIPT', 'REDUX']"
37335,"['GOOGLE CLOUD PLATFORM', 'HADOOP', 'SPARK']"
158891,"['JAVASCRIPT', 'TYPESCRIPT', 'REACT.JS', 'FLUTTER', 'NEXT.JS']"
150305,"['MYSQL', 'REACT', 'KOTLIN', 'SQL', 'AWS', 'SPRING FRAMEWORK', 'JPA']"
145306,"['REACT', 'JAVA', 'JAVASCRIPT', 'PHP', 'SQL']"
146089,"['ANDROID', 'IOS', 'TYPESCRIPT', 'AWS', 'NODEJS', 'REACT.JS']"
101923,"['GIT', 'ANDROID', 'LINUX', 'C / C++']"
141181,"['GIT', 'GITHUB', 'LINUX', 'REACT', 'SQL', 'AWS', 'DOCKER', 'POSTGRESQL', 'FLUTTER']"
157396,"['BITBUCKET', 'GIT', 'JIRA', 'AZURE', 'AWS', 'DEVOPS', 'ITIL', 'KUBERNETES']"
126176,
149981,"['ANDROID', 'IOS', 'TYPESCRIPT', 'AWS', 'NODEJS', 'REACT.JS']"
74693,
72701,
147021,"['SCIKIT-LEARN', 'NODE.JS', 'PYTHON', 'DOCKER', 'CLUSTERING', 'SNMP']"
114983,"['LINUX', 'C', 'C++']"
163571,"['GIT', 'PYTHON', 'C++', 'ROS']"
162049,"['REACT', 'TYPESCRIPT']"
162533,"['LINUX', 'IOT', 'C++', '통신', '로봇', 'ROS']"
142691,"['PYTHON', 'SQL', 'TABLEAU', 'AWS', 'SPRING FRAMEWORK', 'ML']"
162494,"['ANDROID', 'DJANGO', 'IOS', 'REACT', 'NODE.JS', 'LARAVEL', 'REACT NATIVE', 'SPRING BOOT', 'FLUTTER', 'NEST.JS']"
160669,"['REACT', 'TYPESCRIPT', 'AWS', 'RESTFUL API', 'VUE.JS']"
71090,
2153,
165112,
84499,"['PYTHON', 'SQL', 'SCM']"
82398,
106604,"['GIT', 'GITHUB', 'MYSQL', 'AWS', 'SPRING FRAMEWORK']"
163152,
162047,"['REACT', 'TYPESCRIPT']"
