id,qualification,preferred,skills
120493,"['JAVA', 'SPRING BOOT']","['GIT', '관리']","['MONGODB', 'MYSQL', 'SQL']"
82530,"['AWS', 'MONGODB', '인프라']","['설계', 'PYTHON', 'SHELL', '모델링', 'JAVASCRIPT']","['GIT', 'JIRA', 'REACT', 'CSS', 'HTML', 'JAVASCRIPT', 'TYPESCRIPT', 'FIGMA', 'NEXT.JS', 'VUE.JS']"
158261,"['개발', '보안', 'KOTLIN', 'RESTFUL API', 'DOCKER', '설계', 'JAVA', 'AWS', 'JPA', 'RDBMS', 'NOSQL', 'SPRING FRAMEWORK', 'KUBERNETES']","['개발', 'RABBITMQ', 'REDIS']",['IOS']
147597,['하드웨어'],['개발'],"['GIT', 'GITHUB', 'LINUX', 'REACT', 'SQL', 'AWS', 'DOCKER', 'POSTGRESQL', 'FLUTTER']"
118168,"['개발', 'SPRING BOOT', '서버', 'API', '설계', 'REST']","['JIRA', '개발', 'API', 'GRAPHQL', 'DOCKER', '설계', 'GIT', 'GITLAB', 'GOLANG', '가상화', 'KUBERNETES', '관리', 'GITHUB']","['MONGODB', 'PYTHON', '금융', 'API', 'NOSQL', 'ELASTICSEARCH', 'API 개발']"
163951,"['API', '컴퓨터 공학', 'RESTFUL API', 'HTML', 'GIT', '웹 개발', 'JAVASCRIPT', '관리', 'CSS', '웹 디자인']","['개발', '보안', 'TYPESCRIPT', '금융', '최적화', '관리']",['AGILE']
151109,"['개발', '컴퓨터 공학', '수학', 'GIS', '최적화']","['UBUNTU', 'C', 'GIT', '자동차', 'VISUAL STUDIO', 'PYTHON', 'JENKINS', 'JIRA', 'UNREAL ENGINE', '로봇']","['GIT', 'GITHUB', 'UNREAL ENGINE', 'C#', 'PYTHON', 'C++', 'CAN', 'ROS', 'UNITY3D']"
122553,['개발'],"['GIT', '개발', '관리', 'GIS']","['GIT', 'AZURE', 'MONGODB', 'PYTORCH', 'SCIKIT-LEARN', 'TENSORFLOW', 'NODE.JS', 'PYTHON', 'C', 'AWS', 'C++', 'DOCKER', 'SHELL SCRIPTING', 'POSTGRESQL', 'GOLANG', 'REACT.JS', 'NEXT.JS', 'RESTFUL API']"
103598,"['MONGODB', 'GITLAB', 'LARAVEL', 'MYSQL', 'JQUERY', 'JAVASCRIPT', 'PHP']",['개발'],"['ANGULARJS', 'MONGODB', 'MYSQL', 'JAVA', 'JAVASCRIPT', 'TYPESCRIPT', 'JPA', 'SPRING BOOT']"
157234,"['개발', 'API', 'DJANGO', 'HTML', 'GIT', '데이터베이스', '클라이언트 개발', 'PYTHON', 'REST', 'JQUERY', 'JAVASCRIPT', 'CSS', 'GITHUB']","['개발', 'GCP', 'AWS', 'ANGULAR']","['GIT', 'GITHUB', 'LINUX', 'MYSQL', 'C / C++', 'HTML', 'JAVASCRIPT', 'PYTHON', 'SQL', 'AWS', 'SPRING FRAMEWORK']"
164438,"['HTML', 'JAVA', 'MSSQL', 'PYTHON', 'ASP', 'JAVASCRIPT', 'CSS']",[],"['ASP', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'NODE.JS', 'PYTHON', 'SQL']"
119599,"['설계', 'GCP', '서버']",['리팩토링'],
159693,"['정보 보안', '컴퓨터 공학', '보안', '설계', '관리']","['개발', '보안', '보안 교육']","['ANDROID', 'JAVA', 'KOTLIN', '안드로이드 개발', 'FLUTTER']"
72388,"['JIRA', '개발', 'TYPESCRIPT', 'HTML', 'GIT', 'NOTION', 'REDUX', 'REACT', '관리', 'CSS']","['SEO', '개발']",
120367,"['알고리즘 개발', '개발', '컴퓨터 공학']","['POSTGRESQL', 'GRAPHQL', 'AWS', 'PYTHON', 'FASTAPI', 'FLUTTER']","['REACT', 'TYPESCRIPT', 'AWS']"
31024,['개발'],"['개발', 'B2B', '데이터 분석', 'SQL', 'SAAS']",
