Key,Value
120493,"['GIT', '관리']"
82530,"['설계', 'PYTHON', 'SHELL', '모델링', 'JAVASCRIPT']"
158261,"['개발', 'RABBITMQ', 'REDIS']"
147597,['개발']
118168,"['JIRA', '개발', 'API', 'GRAPHQL', 'DOCKER', '설계', 'GIT', 'GITLAB', 'GOLANG', '가상화', 'KUBERNETES', '관리', 'GITHUB']"
163951,"['개발', '보안', 'TYPESCRIPT', '금융', '최적화', '관리']"
151109,"['UBUNTU', 'C', 'GIT', '자동차', 'VISUAL STUDIO', 'PYTHON', 'JENKINS', 'JIRA', 'UNREAL ENGINE', '로봇']"
122553,"['GIT', '개발', '관리', 'GIS']"
103598,['개발']
157234,"['개발', 'GCP', 'AWS', 'ANGULAR']"
164438,[]
119599,['리팩토링']
159693,"['개발', '보안', '보안 교육']"
72388,"['SEO', '개발']"
120367,"['POSTGRESQL', 'GRAPHQL', 'AWS', 'PYTHON', 'FASTAPI', 'FLUTTER']"
31024,"['개발', 'B2B', '데이터 분석', 'SQL', 'SAAS']"
162844,[]
106376,"['설계', '데이터 수집']"
37335,"['개발', 'JAVA', 'AWS', 'DEVOPS']"
158891,['개발']
150305,['개발']
145306,"['SQL', '개발', '데이터베이스', '설계']"
146089,"['개발', 'FLOW', '리팩토링', 'COROUTINE', '최적화', 'MVVM']"
101923,"['개발', 'C', 'WPF 개발', 'LINUX', 'RTOS']"
141181,"['검증', 'ORCAD', '회로 설계', 'PADS']"
157396,[]
126176,[]
149981,"['AWS', 'TYPESCRIPT']"
74693,['데이터베이스']
72701,"['API', 'DJANGO', 'ORM', 'RABBITMQ', '금융', 'AWS', 'FLASK', 'FASTAPI']"
147021,"['AGILE', '시스템 구축', '인프라', 'JENKINS', '관리', 'DEVOPS']"
114983,['UNREAL ENGINE']
163571,"['개발', 'ISO', '로봇']"
162049,[]
162533,"['개발', 'GIT', '관리', 'LINUX', 'ROS']"
142691,"['개발', 'JAVA', '검증', 'SQL', '로봇']"
162494,"['최적화', 'TDD', '관리']"
160669,"['개발', 'JAVA', 'PYTHON', 'C']"
71090,"['개발', '보안', 'DJANGO', 'GIT', 'GCP', 'AWS', 'FLASK', 'FASTAPI', 'PYTHON', 'AZURE', 'DEVOPS', 'GITHUB']"
2153,"['개발', '보안', 'NODEJS', '데이터베이스', '최적화', 'ANGULAR', 'VUEJS', 'JAVASCRIPT', 'REACT']"
165112,['REACT']
84499,"['개발', 'SCM', 'B2B']"
82398,"['CISA', '정보 보안', 'CISSP']"
106604,"['개발', '관리']"
163152,"['설계', 'AWS']"
