Key,Value
120493,"['JAVA', 'SPRING BOOT']"
82530,"['AWS', 'MONGODB', '인프라']"
158261,"['개발', '보안', 'KOTLIN', 'RESTFUL API', 'DOCKER', '설계', 'JAVA', 'AWS', 'JPA', 'RDBMS', 'NOSQL', 'SPRING FRAMEWORK', 'KUBERNETES']"
147597,['하드웨어']
118168,"['개발', 'SPRING BOOT', '서버', 'API', '설계', 'REST']"
163951,"['API', '컴퓨터 공학', 'RESTFUL API', 'HTML', 'GIT', '웹 개발', 'JAVASCRIPT', '관리', 'CSS', '웹 디자인']"
151109,"['개발', '컴퓨터 공학', '수학', 'GIS', '최적화']"
122553,['개발']
103598,"['MONGODB', 'GITLAB', 'LARAVEL', 'MYSQL', 'JQUERY', 'JAVASCRIPT', 'PHP']"
157234,"['개발', 'API', 'DJANGO', 'HTML', 'GIT', '데이터베이스', '클라이언트 개발', 'PYTHON', 'REST', 'JQUERY', 'JAVASCRIPT', 'CSS', 'GITHUB']"
164438,"['HTML', 'JAVA', 'MSSQL', 'PYTHON', 'ASP', 'JAVASCRIPT', 'CSS']"
119599,"['설계', 'GCP', '서버']"
159693,"['정보 보안', '컴퓨터 공학', '보안', '설계', '관리']"
72388,"['JIRA', '개발', 'TYPESCRIPT', 'HTML', 'GIT', 'NOTION', 'REDUX', 'REACT', '관리', 'CSS']"
120367,"['알고리즘 개발', '개발', '컴퓨터 공학']"
31024,['개발']
162844,[]
106376,"['보안', 'ML', '데이터 분석', '영상', 'PYTHON']"
37335,"['개발', 'SPRING BOOT', 'ORM', 'ORACLE', 'AWS', 'JPA', 'RDBMS', 'MYSQL', 'NOSQL', 'SQL']"
158891,['개발']
150305,"['개발', 'TYPESCRIPT', 'HTML', 'JAVA', 'REACT NATIVE', 'JAVASCRIPT', 'CSS', 'REACT']"
145306,['개발']
146089,"['REST', '개발', 'API', 'ANDROID']"
101923,"['개발', '통신', 'CAN', '펌웨어']"
141181,[]
157396,[]
126176,"['UX', '관리', '데이터 수집']"
149981,"['FLOW', 'API', 'NODEJS', 'GIT', 'RDBMS', 'MYSQL', 'REST', 'JAVASCRIPT']"
74693,"['C', 'ORACLE', '데이터베이스', 'AWS', 'JAVA', 'MYSQL', 'PYTHON', '관리', 'BASH']"
72701,"['GIT', 'REDIS']"
147021,"['KUBERNETES', 'AZURE', '인프라', 'STORAGE']"
114983,"['DIRECTX', '영상', 'C', 'OOP']"
163571,"['개발', '제품 개발', 'C', 'GIT', 'PYTHON', 'ROS']"
162049,[]
162533,"['개발', '컴퓨터 공학', 'C']"
142691,"['알고리즘 개발', '개발', '솔루션 개발', '로봇']"
162494,"['개발', 'SPRING BOOT', 'KOTLIN', 'ORM', 'JAVA', 'JIRA', 'GITHUB']"
160669,[]
71090,"['SQL', '개발', 'API', 'PYTHON']"
2153,"['개발', 'DOCKER', '설계', 'PYTHON', 'MYSQL', 'REST', 'VUEJS', 'API', 'SHELL', 'RUBY', 'NODEJS', '웹 개발', 'AWS', 'ELASTICSEARCH', 'RDBMS', 'LINUX', 'FIREBASE', 'GIT', 'REDIS', 'MVVM', 'PHP']"
165112,"['API', 'HTML', '리팩토링', 'AJAX', 'JSON', 'REST', 'CSS']"
84499,"['개발', '설계', 'JAVA', 'MSSQL', 'MYSQL', 'JAVASCRIPT']"
82398,"['정보 보안', '보안']"
106604,"['개발', '소프트웨어 개발']"
163152,"['개발', 'JAVA', 'AWS', '인프라', 'PYTHON']"
162047,"['개발', 'RX']"
164150,"['개발', 'API', '서버', 'JAVA', 'SPRING FRAMEWORK', 'LINUX']"
150584,"['개발', 'ML', 'C', 'OPENCV', 'PYTORCH']"
154634,"['개발', '최적화', 'REDUX', 'REACT', '관리']"
162069,"['DJANGO', 'DOCKER', '웹 개발', 'TDD', 'FLASK', 'PYTHON', 'FASTAPI', 'HTTP']"
163011,[]
121721,"['개발', 'RDBMS', 'NOSQL']"
145171,"['개발', 'API', 'GIT', 'JSON', 'VUEJS', 'JQUERY', 'REACT']"
148434,['제품 개발']
125890,[]
160859,"['GO', 'NODEJS', '개발']"
142903,"['보안', 'AWS', '인프라', 'IPS', '보안 운영']"
128790,"['알고리즘 개발', '개발', 'C', '머신 비전']"
54172,"['개발', 'TYPESCRIPT', 'MYSQL', 'RESTFUL API']"
156578,"['개발', 'AWS', '인프라']"
133987,"['컴퓨터 비전', '영상']"
149510,"['개발', 'HTML', 'CSS', 'MYSQL', 'JQUERY', 'HTTP', 'PHP']"
160912,"['개발', '서버', 'NODEJS', 'RESTFUL API', 'AWS', 'RDBMS', 'NOSQL']"
75521,"['개발', 'PYTHON', 'ROS']"
119115,"['DOCKER', 'AWS', '인프라']"
126986,"['TENSORFLOW', 'PYTORCH']"
154413,['개발']
82449,"['개발', '기술 개발', '소프트웨어 개발']"
129538,[]
157514,['개발']
156546,"['프로젝트 관리', '개발', '서버', '최적화']"
148430,"['개발', 'LINUX', '클라이언트 개발']"
76778,[]
148483,['개발']
160619,"['설계', 'SDLC']"
139226,['DEVOPS']
160424,"['개발', '서버', 'RESTFUL API', '설계', 'JAVA', 'SPRING FRAMEWORK', 'SQL']"
136895,"['개발', 'PYTHON']"
34518,"['개발', 'NODEJS', 'SPA', 'GIT', 'VUEJS']"
159559,"['개발', 'IOS', 'GIT', 'XCODE', 'ANDROID', 'JIRA', 'FLUTTER']"
155947,"['개발', 'KOTLIN', 'FLOW', 'HILT', 'MVVM']"
92376,['TDD']
19232,[]
112250,"['개발', 'SPRING BOOT', 'JAVA', 'JSP', 'ANDROID', 'API 개발', 'MYSQL', 'SPRING FRAMEWORK', 'JAVASCRIPT']"
163137,"['개발', 'NODEJS', 'RESTFUL API', 'GIT', '설계', 'JAVA', 'AWS', 'API 개발', 'RDBMS', '관리', 'LINUX']"
152109,"['JIRA', 'TRELLO', 'SLACK']"
155674,"['LINUX', '설계', 'MONGODB', 'MYSQL']"
148421,"['개발', 'API', 'NODEJS', '설계', 'REST']"
80390,"['개발', 'SPRING BOOT', 'JAVA', 'API 개발', 'RDBMS', 'MVC', 'MYSQL']"
156317,"['HTML', 'FLUTTER']"
132036,"['개발', 'IOS', '무선 통신', 'ANDROID']"
133174,['보안']
142180,"['설계', '개발', '서버']"
159707,"['개발', 'C', '영상', 'OPENCV', 'PYTHON', '카메라']"
110072,"['개발', 'GIT', 'JAVA', 'JSON', 'JQUERY', 'JAVASCRIPT', '관리']"
151205,"['개발', '보안', '백신', 'API', '서버', 'B2C', 'DLP', 'AWS', '데이터 분석', '인프라', '방화벽', 'VPN', 'SLACK']"
161840,"['개발', 'SPA', 'HTML', 'GIT', 'JAVASCRIPT', 'AWS', '운영 관리', 'SAAS', 'REACT', '관리', 'CSS']"
64709,['개발']
107044,"['개발', '설계', '관리', 'RESTFUL API']"
155316,"['개발', '서버', 'JAVA', '시스템 구축', 'API 개발', '운영 관리']"
160203,"['SPA', 'HTML', 'GIT', 'JAVASCRIPT', 'VUEJS', '고객 중심', 'REACT', '관리', 'CSS']"
152204,"['개발', 'SPRING BOOT', 'NODEJS', 'JAVA', 'REACT']"
144301,"['개발', 'API', 'NODEJS', '설계', 'MYSQL', 'REST', 'CENTOS']"
93307,"['MONGODB', 'DOCKER', 'JAVA', 'AWS', '시스템 구축', '데이터 분석', 'NOSQL', 'PYTHON', 'KUBERNETES']"
157106,"['개발', 'IOS', 'SWIFT', '설계', 'ANDROID']"
157427,"['개발', 'IOS', 'NOTION', 'REACT NATIVE', 'ANDROID', 'REACT', 'SLACK']"
83608,"['개발', '서버', 'RESTFUL API', '설계', 'REDIS', 'SPRING FRAMEWORK']"
51850,"['LINUX', '개발', 'APACHE', 'ORACLE', 'RDBMS', 'MYSQL', 'TOMCAT']"
105058,"['개발', 'RESTFUL API', 'HTML', '분석 능력', 'JAVASCRIPT', 'CSS']"
164509,"['VUEJS', '개발', 'REACT', 'ANGULAR']"
161398,[]
162643,"['SPI', 'C', '통신', '인터페이스', '펌웨어']"
148848,"['개발', 'SPRING BOOT', 'POSTGRESQL', '서버', 'NODEJS', 'C', 'JAVA', 'MFC', 'VUEJS', 'JAVASCRIPT', 'CSS']"
145558,"['GITHUB', '개발', 'IOS', 'RESTFUL API', '설계', '클라이언트 개발', 'ANDROID', '서비스 프로세스', '관리', 'FLUTTER']"
113536,[]
152981,"['NODEJS', 'DOCKER', 'AWS', '인프라', 'GOLANG', 'PYTHON', 'KUBERNETES']"
158621,"['개발', 'JAVA', 'PYTHON', '보안 운영', 'JAVASCRIPT']"
155151,"['개발', 'REACT', 'TYPESCRIPT']"
93006,"['REDUX', 'REACT NATIVE', 'CSS', 'HTML']"
158790,"['개발', 'GIT', 'DOCKER', 'AWS', '관리']"
145497,"['개발', 'OPENCV', '영상', 'PYTHON']"
163690,"['개발', 'API', 'RESTFUL API', 'FIREBASE', 'GIT', '설계', '통신', 'MVVM', '관리', 'FLUTTER']"
151080,"['개발', 'PYTHON', '데이터 수집']"
161246,"['API', '개발', '서버']"
135628,"['개발', 'HTML', 'JAVA', 'JQUERY', 'JSP 개발', 'JAVASCRIPT', 'CSS']"
120544,['프로젝트 관리']
140403,['데이터베이스']
118173,"['REST', '개발', 'API', 'ANDROID']"
159548,"['GIT', '개발', '관리', 'C']"
147092,['운영 관리']
75864,"['개발', 'HTML', 'CSS', 'REACT', 'JAVASCRIPT', 'GITHUB']"
160407,"['VUEJS', 'API', 'TYPESCRIPT', 'API 개발']"
150696,"['JAVASCRIPT', 'CSS', 'HTML']"
150247,[]
143287,"['개발', 'GIT', 'GITLAB', 'JQUERY', 'JAVASCRIPT', 'PHP']"
81207,[]
163272,"['개발', '서버', 'API', 'DJANGO', '설계', '분석 능력', 'AWS', 'PYTHON', '관리']"
134228,"['개발', 'AWS', '인프라', 'ANGULARJS', '관리']"
115294,"['AWS', '인프라', 'KUBERNETES', '관리', '클라우드 컴퓨팅']"
93070,['UX']
118481,"['개발', 'JAVASCRIPT', 'TYPESCRIPT']"
156387,"['개발', 'NODEJS', 'GCP', '설계', 'AWS', '클라우드 컴퓨팅']"
38344,"['금융', 'NUMPY', 'PYTHON']"
152971,"['CRM', '개발']"
146910,"['개발', 'C', 'JAVA', 'RDBMS', 'SPRING FRAMEWORK', 'JQUERY', 'JAVASCRIPT']"
158496,[]
162463,['기술 개발']
102299,"['개발', 'API', '서버', 'POSTGRESQL', 'SQL', 'MYSQL', 'REST', 'JAVASCRIPT']"
162509,"['개발', 'API', 'RESTFUL API', 'OOP', 'TDD', 'LARAVEL', 'NOSQL', 'HTTP', 'PHP']"
157624,"['LINUX', 'DNS', '인프라']"
138121,"['개발', 'MONGODB', 'NODEJS', '설계', '통신', 'NOSQL', 'REDIS', 'SQL', 'HTTP']"
165290,"['개발', 'TYPESCRIPT', 'HTML', 'JAVASCRIPT', '최적화', 'REACT', '관리', 'CSS']"
162994,[]
129996,"['GIT', '개발', 'JIRA', 'SLACK']"
144457,"['개발', 'JAVASCRIPT', 'REACT']"
135592,['개발']
139814,"['개발', 'JAVA', 'REACT', 'JAVASCRIPT']"
164412,"['개발', 'LINUX']"
125111,"['SAAS', 'AWS', '인프라']"
156429,"['OLAP', '설계', 'HADOOP', 'DWDM', 'SQL', 'LINUX']"
131652,"['개발', 'NODEJS']"
141603,"['POSTGRESQL', 'API', 'TYPESCRIPT', 'RDBMS', 'REACT']"
158928,"['모델링', '설계', 'DWDM', 'SQL']"
163322,"['개발', '서버', 'ORM', 'AWS', 'JPA', 'PHP']"
155156,"['개발', 'DJANGO', 'MYSQL', 'PYTHON', 'FASTAPI']"
164754,"['IP', '보안', '관리', '서버']"
158883,"['개발', 'API', '서버', 'GRAPHQL', '웹 개발', 'REDUX', 'REST', 'REACT', '인터페이스']"
154341,"['개발', '컴퓨터 비전', 'PYTORCH', 'TENSORFLOW']"
146181,"['개발', 'KOTLIN', 'API', 'GIT', '설계', 'JAVA', 'REST']"
143200,"['개발', '서버', 'NODEJS', 'SPA', 'ANGULAR', 'REACT']"
127334,"['TYPESCRIPT', 'GIT', 'AWS', '인프라', '프로젝트 관리', '관리']"
160371,[]
106024,"['SWIFT', 'IOS', 'API 개발']"
145632,[]
142259,"['보안', '서버', '인프라', '네트워크 보안']"
28711,"['JAVA', 'ANDROID']"
105444,['개발']
158527,"['개발', 'DJANGO', 'GIT', 'AWS', '인프라', 'PYTHON']"
157501,['임베디드 시스템']
125677,"['SWIFT', 'IOS', '제품 개발']"
145745,"['개발', 'TYPESCRIPT', 'CSS', 'HTML']"
136458,"['개발', 'MYSQL', 'NODEJS', 'RESTFUL API']"
131064,"['개발', '반도체', '소프트웨어 개발']"
159845,['소프트웨어 개발']
